col0|col1|col2|col3|col4|col5|col6|col7|col8|col9|col10|col11|col12|col13|col14|col15|col16|col17|col18|col19|col20|col21|col22|col23|col24|col25|col26|col27|col28|col29|col30|col31|col32|col33|col34|col35|col36|col37|col38|col39|col40|col41|col42|col43|col44|col45|col46|col47|col48|col49|col50|col51|col52|col53|col54|col55|col56|col57|col58
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|0|MVAR|V|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|502.8800048828125|502.8800048828125|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|0|ECAR|A|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|295.1000061035156|295.1000061035156|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|0|SCAR|D|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|290.3399963378906|290.3399963378906|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|0|RFAC||EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|421.3900146484375|421.3900146484375|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|FCAR|E|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|290.7900085449219|290.7900085449219|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|IFAR|F|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|305.45001220703125|305.45001220703125|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|0|SFAR|W|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|366.6099853515625|366.6099853515625|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|0|CCAR|B|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|297.260009765625|297.260009765625|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|0|ICAR|C|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|301.4100036621094|301.4100036621094|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|MVAR|V|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|478.4800109863281|478.4800109863281|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|CCAR|B|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|282.8399963378906|282.8399963378906|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|ICAR|C|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|286.7900085449219|286.7900085449219|None|None|None|None|None|None|None|None|None|None
W|A|YEG|YEG|20240110|1030|2024-01-10 10:30|1704882600000|20240117|1030|2024-01-17 10:30|1705487400000|7|1|JCAE||EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|965.5700073242188|965.5700073242188|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|1|ICAR|C|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|296.8399963378906|None|286.94000244140625|None|729.97998046875|None|287.7799987792969|None|None|None|None|None|None|None|None|None|286.7900085449219|None|304.0799865722656|None|None|None|None|None|287.7799987792969|None|None
W|L|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|1|ECAR|A|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|289.6099853515625|None|273.2799987792969|None|793.760009765625|None|281.6099853515625|None|None|None|None|None|None|None|None|None|280.7900085449219|None|296.8399963378906|None|None|None|None|None|281.6099853515625|None|None
W|L|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|1|CCAR|B|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|293.1700134277344|None|276.0|None|719.9400024414062|None|284.69000244140625|None|None|None|None|None|None|None|None|None|282.8399963378906|None|300.3999938964844|None|None|None|None|None|284.69000244140625|None|None
W|L|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|1|SCAR|D|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|300.4700012207031|None|300.6099853515625|None|751.3499755859375|None|283.260009765625|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|283.260009765625|None|None
W|L|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|0|MVAR|V|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|510.6600036621094|510.6600036621094|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|0|ECAR|A|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|295.1000061035156|295.1000061035156|None|None|None|None|None|None|None|None|None|None
W|L|YEG|YEG|20240111|1030|2024-01-11 10:30|1704969000000|20240118|1030|2024-01-18 10:30|1705573800000|7|0|ICAR|C|EUR|20240101|859|2024-01-01 08:59|1704099540000|RG_CA_INBFR_Q14_1_CA1_202401010859.txt.gz|RG|IN|FR|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|None|301.4100036621094|301.4100036621094|None|None|None|None|None|None|None|None|None|None
